REGION
1|1.01.01|2173157.0000
1|1.01.02|362216.0000
1|1.01.02|7172674.0000
1|1.01.03|155156.0000
1|1.01.04|7172117.0000
1|1.01.05|5133573.0000
1|1.01.05|7133458.0000
1|1.02.01|5191758.0000
1|1.02.02|1163119.0000
1|1.02.02|1353156.0000
1|1.02.02|3353418.0000
1|1.02.02|362216.0000
1|1.02.02|5191758.0000
2|2.01.01|155156.0000
2|2.01.01|3353418.0000
2|2.01.01|6353510.0000
2|2.01.01|6353515.0000
2|2.01.01|6353516.0000
2|2.01.01|6353519.0000
2|2.01.01|6353585.0000
2|2.02.01|1353156.0000
2|2.02.01|3353418.0000
2|2.02.02|3211518.0000
2|2.02.02|7172516.0000
2|2.02.03|5253678.0000
2|2.02.04|4353870.0000
2|2.02.04|7361670.0000
3|3.01.02|1211575.0000
3|3.01.02|2363717.0000
3|3.01.04|2363717.0000
3|3.01.04|2363793.0000
3|3.01.04|6322246.0000
3|3.01.06|6353160.0000
3|3.01.06|7172611.0000
3|3.01.06|7172614.0000
3|3.01.07|1181318.0000
3|3.02.01|1243110.0000
3|3.02.01|1373618.0000
3|3.02.01|8222715.0000
3|3.02.02|6133518.0000
3|3.02.02|7111517.0000
3|3.02.02|7111546.0000
3|3.02.02|8133762.0000
3|3.02.02|8222715.0000
4|4.01.03|7173513.0000
4|4.01.04|362216.0000
4|4.02.01|362216.0000
4|4.02.01|5222555.0000
4|4.02.01|6111718.0000
4|4.02.02|1322214.0000
5|5.01.01|155156.0000
5|5.01.01|3211514.0000
5|5.01.02|5153715.0000
5|5.01.03|6333848.0000
5|5.01.03|7173599.0000
5|5.01.04|8233713.0000
5|5.02.02|1163353.0000
